apiAuditId,jsonPath,rawType,elementType,requiredObserved,presenceCount,sampleCount,nullCount,emptyCount,exampleRedacted,valueRangeOrEnum,authConditions,resourceConditions,firstSeenCase,lastSeenCase,semanticName,semanticConfidence,sourceEvidence,normalizedEntity,normalizedField,conflictId
ncm.top_list,playlist.displayUserInfoAsTagOnly,boolean,,observed,1,1,0,0,false,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.distributeTags,array<unknown>,,observed,1,1,0,1,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.englishTitle,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.gradeStatus,string,,observed,1,1,0,0,NONE,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.highQuality,boolean,,observed,1,1,0,0,false,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.historySharedUsers,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.id,number,,observed,1,1,0,0,13940140402,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.mix,boolean,,observed,1,1,0,0,false,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.mixInfo,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.mixPodcastPlaylist,boolean,,observed,1,1,0,0,false,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.mvResourceInfos,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.name,string,,observed,1,1,0,0,华语封神100首｜神仙打架年代金曲全收录,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.newDetailPageRemixVideo,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.newImported,boolean,,observed,1,1,0,0,false,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.officialPlaylistType,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.opRecommend,boolean,,observed,1,1,0,0,false,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.ordered,boolean,,observed,1,1,0,0,true,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.playCount,number,,observed,1,1,0,0,12932981,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.playlistType,string,,observed,1,1,0,0,UGC,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.podcastTrackCount,number,,observed,1,1,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.privacy,number,,observed,1,1,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.promptedMgcInfo,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.relateResType,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.remixVideo,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.score,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.shareCount,number,,observed,1,1,0,0,760,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.sharedUsers,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.specialType,number,,observed,1,1,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.status,number,,observed,1,1,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.subscribed,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.subscribedCount,number,,observed,1,1,0,0,69303,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.subscribers,array<unknown>,,observed,1,1,0,1,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tags[],string,,observed,3,3,0,0,华语,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.titleImage,number,,observed,1,1,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.titleImageUrl,null,,observed,1,1,1,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackCount,number,,observed,1,1,0,0,137,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].alg,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].at,number,,observed,3,3,0,0,1751873715302,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].dpr,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].f,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].id,number,,observed,3,3,0,0,287063,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].rcmdReason,string,,observed,3,3,0,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].rcmdReasonTitle,string,,observed,3,3,0,0,编辑推荐,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].sc,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].sr,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].t,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].tr,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].uid,number,,observed,3,3,0,0,1661470704,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackIds[].v,number,,observed,3,3,0,0,534,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.trackNumberUpdateTime,number,,observed,1,1,0,0,1785510680066,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].a,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].additionalTitle,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].al.id,number,,observed,3,3,0,0,28520,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].al.name,string,,observed,3,3,0,0,逆光,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].al.pic,number,,observed,3,3,0,0,109951173219336670,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].al.pic_str,string,,observed,3,3,0,0,109951173219336672,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].al.picUrl,string,,observed,3,3,0,0,http://p3.music.126.net/wF25xzePLml5EGUWM2eInw==/10995117321,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].al.tns,array<unknown>,,observed,3,3,0,3,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].alg,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].alia,array<unknown>,,observed,2,2,0,2,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].alia[],string,,observed,1,1,0,0,单元剧《上班女郎》主题曲,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].ar[].alias,array<unknown>,,observed,4,4,0,4,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].ar[].id,number,,observed,4,4,0,0,9272,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].ar[].name,string,,observed,4,4,0,0,孙燕姿,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].ar[].tns,array<unknown>,,observed,4,4,0,4,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].awardTags,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
